40000 B.C.  	Cro-Magnon man (homo sapiens) is active in Europe and the Middle East.
1969      	Nixon is inaugurated as the 37th U.S. president; Agnew becomes vice-president.
1969      	Nudity shocks audiences in Kenneth Tynan's Broadway revue Oh! Calcutta!.
1969      	Paul Newman and Robert Redford star in Butch Cassidy and the Sundance Kid.
1969      	President Ayub Khan is deposed by Gen. Muhammad Yahya Khan in Pakistan.
1969      	President Nixon begins to withdraw U.S. forces from Vietnam.
1969      	The Anglo-French supersonic transport Concorde makes its first flight.
1969      	The Children's Television Workshop series Sesame Street is first shown.
1969      	The Monty Python's Flying Circus television program premiers in Britain.
1969      	The Stonewall Riots spark the modern gay rights movement.
1969      	The immigration of Salvadorans into Honduras leads to a brief border war.
1969      	Willy Brandt succeeds Kurt Kiesinger as chancellor of West Germany.
1969      	Yasir Arafat becomes chairman of the Palestine Liberation Organization (PLO).
1970      	American writer Maya Angelou publishes I Know Why the Caged Bird Sings.
1970      	Australian tennis player Margaret Smith Court wins the Grand Slam.
1970      	Britain grants independence to Fiji.
1970      	Bruno Kreisky succeeds Josef Klaus as chancellor of Austria.
1970      	Cartoonist Garry Trudeau begins satirizing public figures and politics in Doonesbury.
1970      	Civil war begins in Jordan between government forces and Palestinian guerrillas.
1970      	Donald Sutherland stars in Robert Altman's anti-war film M*A*S*H.
1970      	Edward Heath becomes Conservative prime minister of Britain.
1970      	Egyptian president Gamal Abdel Nasser dies; he is succeeded by Anwar al-Sadat.
1970      	Former defense minister Hafez al-Assad seizes power in Syria.
1970      	French filmmaker Eric Rohmer directs Claire's Knee.
1970      	George C. Scott stars in the Academy Award winning film Patton.
1970      	Marxist leader Salvadore Allende is elected president of Chile.
1970      	Norman Borlaug wins the Nobel Peace Prize for breeding miracle wheat strains.
1970      	Ohio national guardsmen kill four Kent State students during an anti-war protest.
1970      	President Nixon orders an incursion into Cambodia to combat the Khmer Rouge.
1970      	Riots in Poland force Wladyslaw Gomulka to resign in favor of Edward Gierek.
1970      	Rock music guitarist Jimi Hendrix dies from a drug overdose.
1970      	Sihanouk is deposed in Cambodia; Khmer Rouge seize the western provinces.
1970      	Songwriting duo Simon and Garfunkel record Bridge Over Troubled Water.
1970      	The Amtrak intercity rail passenger service is created by Act of Congress.
1970      	The Apollo 13 crew return to earth after an explosion aboard their command module.
1970      	The Beatles pop group is disbanded.
1970      	The Boeing 747 Jumbo jet airliner enters service.
1970      	The Environmental Protection Agency (EPA) is established in the U.S.
1970      	The Soviet space probe Venera 7 transmits the first data from the surface of Venus.
1970      	The building of the Aswan High Dam is completed in Egypt.
1970      	The civil war ends between Nigeria and the breakaway state of Biafra.
1970      	Writer and feminist Germaine Greer publishes The Female Eunuch.
1971      	Alistair Cooke begins hosting the PBS television series Masterpiece Theatre.
1971      	American film actor and director Clint Eastwood stars in Dirty Harry.
1971      	Andrew Lloyd Webber's rock-opera Jesus Christ Superstar opens on Broadway.
1971      	Austrian Kurt Waldheim succeeds U Thant as UN secretary general.
1971      	British actor Dirk Bogard stars in Luchino Visconti's film Death in Venice.
1971      	Chilean poet Pablo Neruda wins the Nobel Prize for literature.
1971      	Col. Hugo Banzer Suarez seizes power in Bolivia in a military coup.
1971      	Daniel Ellsberg releases copies of the Pentagon Papers to the New York Times.
1971      	East Pakistan declares its independence from West Pakistan, beginning a civil war.
1971      	Erich Honecker becomes the head of state for East Germany.
1971      	Ice hockey player Phil Esposito scores a record 76 goals in 78 games.
1971      	Jean Claude Duvalier succeeds his father as president of Haiti.
1971      	Joe Frazier defeats Muhammad Ali for the heavyweight boxing title.
1971      	Lt. William Calley is found guilty of killing Vietnamese civilians at My Lai.
1971      	Prime minister Brian Faulkner begins the internment of IRA suspects in Northern Ireland.
1971      	Prime minister Milton Obote is ousted by Idi Amin Dada in Uganda.
1971      	South Vietnamese troops and U.S. aircraft combat Communist forces in Laos.
1971      	Soyuz 11 docks with Salyut 1; three cosmonauts die during the return to earth.
1971      	The Congo is renamed as the Republic of Zaire.
1971      	The Lunar Rover explores the Moon's surface during the Apollo 15 mission.
1971      	The Republic of China (Taiwan) loses its UN seat; Communist China is admitted.
1971      	The support of India wins independence for East Pakistan (renamed as Bangladesh).
1972      	Alabama governor George Wallace is shot in an assassination attempt.
1972      	American B-52 aircraft bomb Hanoi and Haiphong in North Vietnam.
1972      	American Bobby Fischer defeats Russian world chess champion Boris Spassky.
1972      	American feminist Gloria Steinem founds Ms. magazine.
1972      	American swimmer Mark Spitz wins a record seven Olympic gold medals.
1972      	An earthquake kills 10,000 in the Nicaraguan capital of Managua.
1972      	Apollo 17 makes the last manned Moon landing.
1972      	Ceylon changes its name to Sri Lanka (meaning beautiful island).
1972      	DDT insecticide is banned in the U.S.
1972      	Filmmaker Francis Ford Coppola directs Marlon Brando in The Godfather.
1972      	German writer Heinrich Boll receives the Nobel Prize for Literature.
1972      	Japanese novelist Kawabata Yasunari commits suicide.
1972      	Liza Minnelli stars in Bob Fosse's film Cabaret.
1972      	Marlon Brando stars in Bernardo Bertolucci's film Last Tango in Paris.
1972      	Mujibur Rahman becomes prime minister of Bangladesh.
1972      	Palestinian terrorists kill 11 Israeli athletes at the Munich Olympics.
1972      	President Ferdinand Marcos imposes martial law in the Philippines.
1972      	President Nixon authorizes the Space Shuttle program.
1972      	President Nixon makes his historic trip to Peking to meet Mao Tse-tung.
1972      	Richard Leakey discovers a hominid skull 2.6 million years old in northern Kenya.
1972      	Soviet gymnast Olga Korbut wins three Olympic gold medals.
1972      	The British government assumes direct rule of Northern Ireland.
1972      	The Labor party is elected in Australia with Gough Whitlam as prime minister.
1972      	The Viet Cong and North Vietnamese renew their offensive in South Vietnam.
1972      	The Watergate affair begins with the arrest of five burglars at Democratic party headquarters.
1973      	A right-wing military coup in Chile overthrows Allende's Marxist government.
1973      	Aleksandr Solzhenitsyn publishes the first volume of the Gulag Archipelago.
1973      	American novelist Thomas Pynchon publishes Gravity's Rainbow.
1973      	American playwright Thornton Wilder publishes the novel Theophilus North.
1973      	Animal behavioralists Lorenz, Tinbergen and von Frisch share the Nobel Prize.
1973      	Britain grants independence to the Bahama Islands.
1973      	Charles XVI Gustav succeeds Gustav VI Adolf as king of Sweden.
1973      	Congress passes the Endangered Species Act.
1973      	Egypt and Syria attack Israel on Yom Kippur (a Jewish religious holiday).
1973      	Film actor Al Pacino stars as an undercover policeman in Serpico.
1973      	Great Britain, Denmark and Ireland become full-fledged members of the EEC.
1973      	Henry Kissinger and Le Duc Tho share the Nobel Peace Prize.
1973      	Juan D. Peron returns to power as president of Argentina.
1973      	Novelist, poet, and feminist Erica Jong publishes Fear of Flying.
1973      	OPEC begins an oil embargo against Europe, the U.S. and Japan.
1973      	Pop recording artist Billy Joel releases his first album Piano Man.
1973      	Senator Sam Ervin, Jr. heads a committee to investigate the Watergate break-in.
1973      	Swedish actor Max Von Sydow stars in the supernatural film The Exorcist.
1973      	The American Indian Movement occupy the site of Wounded Knee in a political protest.
1973      	The Arab-Israeli War ends after 18 days with a UN negotiated cease-fire.
1973      	The Paris Peace Accords end the Vietnam War.
1973      	The Pioneer 10 spacecraft makes a rendezvous with the planet Jupiter.
1973      	The Skylab manned orbiting laboratory is launched.
1973      	The U.S. begins a total military withdrawal from South Vietnam.
1973      	The Washington Post receives the Pulitzer Prize for reporting the Watergate scandal.
1973      	The World Trade Center in New York City becomes the tallest building in the world.
1973      	Vice-President Spiro Agnew resigns after he is charged with accepting bribes.
1973      	Watergate prosecutor Archibald Cox is dismissed for demanding the Nixon tapes.
1974      	A military coup in Portugal leads to democratic reforms.
1974      	American tennis player Chris Evert wins a record 56 consecutive matches.
1974      	American tennis player Jimmy Connors wins the U.S. Open tournament for the first time.
1974      	American writer Stephen King publishes the horror novel Carrie.
1974      	An army of life-size pottery figures is discovered in a Ch'in dynasty tomb in China.
1974      	Archbishop Makarios is deposed, prompting a Turkish invasion of Cyprus.
1974      	Baseball player Hank Aaron breaks Babe Ruth's record of 714 home-runs.
1974      	Emperor Haile Selassie is deposed in a military coup in Ethiopia.
1974      	Former astronaut John Glenn is elected to the U.S. Senate.
1974      	General Augusto Pinochet Ugarte becomes president of Chile.
1974      	Helmut Schmidt becomes chancellor of West Germany.
1974      	Isabel Peron becomes president of Argentina after the death of her husband.
1974      	James Michener publishes Centennial, a historical novel of the American West.
1974      	Konstantinos G. Karamanlis becomes prime minister of Greece.
1974      	Patricia Hearst is abducted by members of the Symbionese Liberation Army (SLA).
